,0
0,1
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,0
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,1
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,1
279,1
280,0
281,1
282,0
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,1
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,0
423,1
424,0
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,0
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,1
482,0
483,0
484,1
485,0
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,1
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,0
536,1
537,0
538,1
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,0
563,1
564,1
565,0
566,1
567,0
568,1
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,1
593,0
594,1
595,1
596,1
597,0
598,1
599,1
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,0
641,1
642,1
643,1
644,0
645,1
646,1
647,1
648,1
649,1
650,0
651,0
652,1
653,1
654,1
655,1
656,0
657,0
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,0
682,1
683,0
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,1
692,0
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,0
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,0
756,1
757,1
758,0
759,1
760,0
761,0
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,0
788,0
789,1
790,1
791,1
792,1
793,0
794,0
795,1
796,1
797,0
798,0
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,0
813,1
814,0
815,1
816,1
817,1
818,0
819,1
820,1
821,1
822,1
823,0
824,1
825,1
826,0
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,0
837,1
838,1
839,1
840,1
841,1
842,0
843,0
844,0
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,0
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,0
881,1
882,0
883,0
884,0
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,0
896,0
897,1
898,0
899,0
900,1
901,1
902,1
903,0
904,1
905,1
906,1
907,1
908,0
909,0
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,0
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,0
948,1
949,1
950,1
951,0
952,1
953,0
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,0
968,1
969,1
970,1
971,1
972,1
973,0
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,0
985,1
986,1
987,1
988,1
989,1
990,1
991,0
992,1
993,1
994,1
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,0
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,0
1038,0
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,0
1058,0
1059,1
1060,0
1061,1
1062,1
1063,1
1064,1
1065,0
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,0
1075,1
1076,1
1077,0
1078,1
1079,1
1080,1
1081,1
1082,0
1083,1
1084,1
1085,1
1086,1
1087,1
1088,0
1089,1
1090,0
1091,1
1092,1
1093,1
1094,1
1095,0
1096,1
1097,1
1098,1
1099,1
1100,1
1101,0
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,0
1110,1
1111,1
1112,0
1113,1
1114,0
1115,1
1116,1
1117,1
1118,0
1119,1
1120,1
1121,1
1122,0
1123,1
1124,1
1125,0
1126,0
1127,0
1128,1
1129,1
1130,1
1131,1
1132,0
1133,1
1134,1
1135,0
1136,1
1137,1
1138,1
1139,0
1140,0
1141,1
1142,0
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,0
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,1
1169,1
1170,1
1171,0
1172,1
1173,1
1174,1
1175,1
1176,0
1177,1
1178,1
1179,0
1180,0
1181,1
1182,1
1183,1
1184,0
1185,1
1186,1
1187,0
1188,1
1189,0
1190,1
1191,1
1192,0
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,0
1200,0
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,0
1208,0
1209,1
1210,0
1211,1
1212,1
1213,1
1214,1
1215,0
1216,1
1217,1
1218,0
1219,1
1220,1
1221,0
1222,1
1223,1
1224,0
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
