,0
0,0
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,0
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,0
295,0
296,1
297,0
298,0
299,1
300,1
301,0
302,1
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,1
353,1
354,0
355,1
356,0
357,0
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,1
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,0
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,1
473,1
474,0
475,1
476,1
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,1
496,0
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,0
518,0
519,1
520,0
521,1
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,1
539,1
540,1
541,0
542,0
543,1
544,1
545,0
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,0
562,1
563,1
564,1
565,0
566,0
567,0
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,0
576,0
577,1
578,0
579,0
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,0
596,1
597,1
598,0
599,0
600,1
601,0
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,1
610,0
611,1
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,1
621,0
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,0
632,1
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,0
644,1
645,1
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,1
668,0
669,1
670,0
671,0
672,0
673,1
674,1
675,1
676,0
677,0
678,1
679,0
680,1
681,0
682,1
683,1
684,1
685,0
686,1
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,0
695,0
696,1
697,1
698,1
699,1
700,0
701,0
702,0
703,0
704,1
705,1
706,0
707,1
708,0
709,0
710,1
711,1
712,0
713,1
714,0
715,0
716,0
717,0
718,1
719,1
720,1
721,0
722,0
723,1
724,0
725,0
726,1
727,1
728,1
729,1
730,1
731,0
732,0
733,1
734,0
735,0
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,0
746,0
747,0
748,1
749,1
750,0
751,1
752,1
753,0
754,0
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,1
771,0
772,0
773,1
774,1
775,0
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,1
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,1
802,1
803,0
804,0
805,1
806,1
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,1
821,0
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,1
830,1
831,1
832,1
833,0
834,1
835,0
836,0
837,0
838,0
839,0
840,0
841,1
842,1
843,1
844,1
845,0
846,0
847,1
848,1
849,1
850,0
851,0
852,0
853,0
854,1
855,0
856,1
857,0
858,0
859,0
860,1
861,1
862,1
863,0
864,1
865,0
866,1
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,1
875,0
876,0
877,0
878,0
879,1
880,1
881,0
882,0
883,1
884,1
885,0
886,0
887,1
888,0
889,0
890,0
891,1
892,1
893,1
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,0
903,0
904,1
905,1
906,1
907,1
908,1
909,1
910,0
911,0
912,0
913,1
914,1
915,0
916,0
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,0
926,0
927,0
928,0
929,0
930,1
931,1
932,1
933,1
934,1
935,0
936,1
937,0
938,0
939,0
940,1
941,1
942,0
943,0
944,0
945,0
946,0
947,1
948,0
949,0
950,1
951,0
952,0
953,1
954,1
955,0
956,1
957,0
958,1
959,0
960,0
961,0
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,0
970,0
971,0
972,0
973,1
974,1
975,1
976,0
977,1
978,1
979,1
980,0
981,0
982,0
983,0
984,0
985,1
986,1
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,0
996,0
997,1
998,0
999,0
1000,1
1001,1
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,0
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,0
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,1
1045,1
1046,1
1047,0
1048,0
1049,1
1050,1
1051,0
1052,0
1053,1
1054,0
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
